FBtr0475186.1	-229.47
FBtr0475186	-685.73
FBtr0475186.2	-435.25
FBti0060580-RA.1.	-24.69
FBti0060580-RA.FlyBase.	-24.69
FBtr0078166.9	-380.85
FBtr0078167.9	-380.85
FBtr0078168.9	-380.85
FBtr0078169.10	-380.85
FBtr0078170.9	-380.85
FBtr0078171.10	-380.85
FBtr0306589.10	-380.85
FBtr0306590.9	-380.85
FBtr0306591.10	-380.85
FBtr0306592.11	-380.85
FBtr0330655.9	-380.85
FBtr0078170	-2725.60
FBtr0078171	-2725.60
FBtr0078166	-3588.25
FBtr0078167	-3588.25
FBtr0078168	-3588.25
FBtr0078169	-3588.25
FBtr0306589	-3588.25
FBtr0306590	-3588.25
FBtr0306591	-3588.25
FBtr0306592	-3588.25
FBtr0330655	-3588.25
FBti0059810-RA.1.	-11.75
FBti0059810-RA.FlyBase.	-11.75
FBtr0078166.8	-17.29
FBtr0078167.8	-17.29
FBtr0078168.8	-17.29
FBtr0078169.9	-17.29
FBtr0078170.8	-17.29
FBtr0078171.9	-17.29
FBtr0306589.9	-17.29
FBtr0306590.8	-17.29
FBtr0306591.9	-17.29
FBtr0306592.10	-17.29
FBtr0078166.7	-134.89
FBtr0078167.7	-134.89
FBtr0078168.7	-134.89
FBtr0078169.8	-134.89
FBtr0078170.7	-134.89
FBtr0078171.8	-134.89
FBtr0306589.8	-134.89
FBtr0306590.7	-134.89
FBtr0306591.8	-134.89
FBtr0306592.9	-134.89
FBtr0330655.8	-134.89
FBtr0078166.6	-245.70
FBtr0078167.6	-245.70
FBtr0078168.6	-245.70
FBtr0078169.7	-245.70
FBtr0078170.6	-245.70
FBtr0078171.7	-245.70
FBtr0306589.7	-245.70
FBtr0306590.6	-245.70
FBtr0306591.7	-245.70
FBtr0306592.8	-245.70
FBtr0330655.7	-245.70
FBtr0078166.5	-34.62
FBtr0078167.5	-34.62
FBtr0078168.5	-34.62
FBtr0078169.6	-34.62
FBtr0078170.5	-34.62
FBtr0078171.6	-34.62
FBtr0306589.6	-34.62
FBtr0306590.5	-34.62
FBtr0306591.6	-34.62
FBtr0306592.7	-34.62
FBtr0330655.6	-34.62
FBtr0078166.4	-409.03
FBtr0078167.4	-409.03
FBtr0078168.4	-409.03
FBtr0078169.5	-409.03
