FBtr0309810.1	990	155	-339	-0.342424	-2.1871	-22	0
FBtr0309810	2286	309	-748	-0.327209	-2.42071	-22	0
FBtr0309810.2	1240	152	-405	-0.326613	-2.66447	-20	0
FBtr0347585	951	69	-103	-0.108307	-1.49275	-5	0
FBtr0347585.1	951	69	-103	-0.108307	-1.49275	-5	0
FBtr0345732	244	17	-36	-0.147541	-2.11765	-6	0
FBtr0345732.1	244	17	-36	-0.147541	-2.11765	-6	0
FBtr0345733	207	31	-132	-0.637681	-4.25806	-28	0
FBtr0345733.1	207	31	-132	-0.637681	-4.25806	-28	0
FBtr0344053.2	2604	464	-1797	-0.690092	-3.87284	-70	0
FBtr0344052	2798	528	-2136	-0.763402	-4.04545	-70	0
FBtr0344052.1	2798	528	-2136	-0.763402	-4.04545	-70	0
FBtr0344053	2798	528	-2136	-0.763402	-4.04545	-70	0
FBtr0344053.1	82	33	-158	-1.92683	-4.78788	-15	0
FBtr0344032.1	236	99	-879	-3.72458	-8.87879	-232	0
FBtr0344032	1195	799	-6623	-5.54226	-8.28911	-293	0
FBtr0344032.2	119	95	-700	-5.88235	-7.36842	-81	0
FBtr0344032.3	707	508	-4347	-6.14851	-8.55709	-293	0
FBtr0336836	727	21	-32	-0.0440165	-1.52381	-3	0
FBtr0336836.1	727	21	-32	-0.0440165	-1.52381	-3	0
FBtr0336837.1	73	3	-4	-0.0547945	-1.33333	-2	0
FBtr0336837	558	45	-111	-0.198925	-2.46667	-17	0
FBtr0336837.2	429	34	-85	-0.198135	-2.5	-17	0
FBtr0336984	400	112	-276	-0.69	-2.46429	-36	0
FBtr0336984.1	400	112	-276	-0.69	-2.46429	-36	0
FBtr0336985	1190	560	-3444	-2.89412	-6.15	-472	0
FBtr0336985.1	1190	560	-3444	-2.89412	-6.15	-472	0
FBtr0336986	552	267	-2739	-4.96196	-10.2584	-328	0
FBtr0336986.1	552	267	-2739	-4.96196	-10.2584	-328	0
FBtr0336987	904	410	-4865	-5.38164	-11.8659	-268	0
FBtr0336987.1	904	410	-4865	-5.38164	-11.8659	-268	0
FBtr0336988.1	395	52	-121	-0.306329	-2.32692	-12	0
FBtr0336988	801	108	-223	-0.278402	-2.06481	-12	0
FBtr0336988.2	359	54	-100	-0.278552	-1.85185	-8	0
FBtr0347594	449	328	-3270	-7.28285	-9.96951	-180	0
FBtr0347594.1	449	328	-3270	-7.28285	-9.96951	-180	0
FBtr0347595.1	280	197	-205062	-732.364	-1040.92	-185659	0
FBtr0347595	1910	647	-207488	-108.632	-320.692	-185659	0
FBtr0347595.2	1540	403	-1338	-0.868831	-3.3201	-117	0
FBtr0329830.2	306	13	-17	-0.0555556	-1.30769	-4	0
FBtr0329830	812	64	-192	-0.236453	-3	-15	0
FBtr0344144	812	64	-192	-0.236453	-3	-15	0
FBtr0344144.1	812	64	-192	-0.236453	-3	-15	0
FBtr0329830.1	352	44	-162	-0.460227	-3.68182	-15	0
FBtr0345774	1229	496	-1722	-1.40114	-3.47177	-86	0
FBtr0345774.1	1229	496	-1722	-1.40114	-3.47177	-86	0
FBtr0345775	846	456	-44544	-52.6525	-97.6842	-10233	0
FBtr0345775.1	846	456	-44544	-52.6525	-97.6842	-10233	0
FBtr0329831	452	19	-26	-0.0575221	-1.36842	-5	0
FBtr0329831.1	452	19	-26	-0.0575221	-1.36842	-5	0
FBtr0329833	566	27	-47	-0.0830389	-1.74074	-4	0
FBtr0329833.1	566	27	-47	-0.0830389	-1.74074	-4	0
FBtr0347589	1815	378	-1608	-0.88595	-4.25397	-90	0
FBtr0347589.1	1815	378	-1608	-0.88595	-4.25397	-90	0
FBtr0347590	771	199	-945	-1.22568	-4.74874	-90	0
FBtr0347590.1	771	199	-945	-1.22568	-4.74874	-90	0
FBtr0347591	1364	171	-344	-0.252199	-2.0117	-29	0
FBtr0347591.1	1364	171	-344	-0.252199	-2.0117	-29	0
FBtr0347397.1	532	39	-63	-0.118421	-1.61538	-5	0
FBtr0347397	737	57	-94	-0.127544	-1.64912	-5	0
FBtr0445834.1	432	28	-45	-0.104167	-1.60714	-5	0
FBtr0445834	637	46	-76	-0.119309	-1.65217	-5	0
FBtr0347397.2	138	12	-25	-0.181159	-2.08333	-5	0
FBtr0445834.2	138	12	-25	-0.181159	-2.08333	-5	0
FBtr0343219	499	35	-48	-0.0961924	-1.37143	-3	0
FBtr0343219.1	499	35	-48	-0.0961924	-1.37143	-3	0
FBtr0310101	795	53	-166	-0.208805	-3.13208	-41	0
FBtr0310101.1	795	53	-166	-0.208805	-3.13208	-41	0
FBtr0343248	559	20	-29	-0.0518784	-1.45	-3	0
FBtr0343248.1	559	20	-29	-0.0518784	-1.45	-3	0
FBtr0343250	424	16	-24	-0.0566038	-1.5	-5	0
FBtr0343250.1	424	16	-24	-0.0566038	-1.5	-5	0
FBtr0345777	324	5	-8	-0.0246914	-1.6	-3	0
FBtr0345777.1	324	5	-8	-0.0246914	-1.6	-3	0
FBtr0344054.1	100	6	-16	-0.16	-2.66667	-8	0
FBtr0344054	4740	974	-117878	-24.8688	-121.025	-106349	0
FBtr0344054.2	449	171	-115340	-256.882	-674.503	-106349	0
FBtr0347592.2	2031	109	-198	-0.0974889	-1.81651	-9	0
FBtr0347592	2849	144	-261	-0.0916111	-1.8125	-9	0
FBtr0347592.1	753	33	-60	-0.0796813	-1.81818	-7	0
FBtr0342660	580	31	-76	-0.131034	-2.45161	-22	0
FBtr0342660.1	580	31	-76	-0.131034	-2.45161	-22	0
