FBtr0309810.1	990	92	333	0.336364	3.61957	0	58
FBtr0309810	2286	176	518	0.226597	2.94318	0	58
FBtr0309810.2	1240	79	178	0.143548	2.25316	0	28
FBtr0347585	951	160	969	1.01893	6.05625	0	214
FBtr0347585.1	951	160	969	1.01893	6.05625	0	214
FBtr0345732	244	8	14	0.057377	1.75	0	3
FBtr0345732.1	244	8	14	0.057377	1.75	0	3
FBtr0345733	207	79	12138	58.6377	153.646	0	9017
FBtr0345733.1	207	79	12138	58.6377	153.646	0	9017
FBtr0344053.2	2604	1052	87939	33.7707	83.5922	0	28874
FBtr0344052	2798	1110	88129	31.4971	79.3955	0	28874
FBtr0344052.1	2798	1110	88129	31.4971	79.3955	0	28874
FBtr0344053	2798	1110	88129	31.4971	79.3955	0	28874
FBtr0344053.1	82	23	91	1.10976	3.95652	0	22
FBtr0344032.1	236	43	102	0.432203	2.37209	0	21
FBtr0344032	1195	234	669	0.559833	2.85897	0	51
FBtr0344032.2	119	28	81	0.680672	2.89286	0	15
FBtr0344032.3	707	139	364	0.514851	2.61871	0	15
FBtr0336836	727	46	78	0.10729	1.69565	0	7
FBtr0336836.1	727	46	78	0.10729	1.69565	0	7
FBtr0336837.1	73	12	21	0.287671	1.75	0	4
FBtr0336837	558	61	149	0.267025	2.44262	0	28
FBtr0336837.2	429	47	126	0.293706	2.68085	0	28
FBtr0336984	400	78	235	0.5875	3.01282	0	22
FBtr0336984.1	400	78	235	0.5875	3.01282	0	22
FBtr0336985	1190	263	1444	1.21345	5.49049	0	183
FBtr0336985.1	1190	263	1444	1.21345	5.49049	0	183
FBtr0336986	552	91	233	0.422101	2.56044	0	22
FBtr0336986.1	552	91	233	0.422101	2.56044	0	22
FBtr0336987	904	247	1242	1.37389	5.02834	0	90
FBtr0336987.1	904	247	1242	1.37389	5.02834	0	90
FBtr0336988.1	395	63	298	0.75443	4.73016	0	51
FBtr0336988	801	84	350	0.436954	4.16667	0	51
FBtr0336988.2	359	21	52	0.144847	2.47619	0	12
FBtr0347594	449	166	691	1.53898	4.16265	0	85
FBtr0347594.1	449	166	691	1.53898	4.16265	0	85
