CAGE_neg        https://epd.expasy.org/epd/ucsc/epdHub/dm6/All_CAGE_minus.bw
CAGE_pos        https://epd.expasy.org/epd/ucsc/epdHub/dm6/All_CAGE_plus.bw
GCcont  http://hgdownload.soe.ucsc.edu/gbdb/dm6/bbi/gc5BaseBw/gc5Base.bw
H3K4me3_S2      https://epd.epfl.ch/ucsc/epdHub/dm6/GSM480156_dm3-S2-H3K4me3.bw
JASPAR_TF       https://unibind.uio.no/static/data/20220914/UniBind_hubs_Robust/UCSC/dm6/dm6_UniBind_allTFBSs.bb
Pol2_S2 https://epd.epfl.ch/ucsc/epdHub/dm6/GSM480159_dm3-S2-PolII.bw
ReMap   https://remap.univ-amu.fr/storage/public/hubReMap2022/dm6/bigBed/remap2022_all_macs2_dm6_v1_0.bb
phastCons27     http://hgdownload.soe.ucsc.edu/goldenPath/dm6/phastCons27way/dm6.27way.phastCons.bw
phyloP124       http://hgdownload.soe.ucsc.edu/goldenPath/dm6/phyloP124way/dm6.phyloP124way.bw
phyloP27        http://hgdownload.soe.ucsc.edu/goldenPath/dm6/phyloP27way/dm6.phyloP27way.bw
